possible_moves,phase,search_time
20,24,2.6355419158935547
20,24,3.2048139572143555
22,24,5.431729793548584
27,24,15.060256958007812
28,24,14.340200185775757
28,24,22.132385730743408
34,24,12.663741111755371
30,24,25.999563932418823
33,24,10.692768096923828
32,24,21.508718013763428
32,24,11.830291986465454
31,24,18.41104793548584
39,24,15.914361238479614
32,24,13.861495733261108
34,24,13.350757122039795
33,24,10.028831958770752
28,24,8.84142518043518
31,23,6.473585844039917
28,22,13.017895936965942
34,22,28.711555004119873
36,22,21.98039698600769
30,22,23.057022094726562
40,22,12.146321773529053
27,21,11.949404954910278
33,20,13.23880386352539
28,20,20.842172861099243
10,20,7.032894134521484
38,20,20.307838916778564
43,20,24.98437190055847
23,16,14.463539123535156
29,12,6.065192937850952
24,12,7.215955972671509
28,12,8.448293209075928
24,12,6.461573839187622
27,12,8.420236110687256
28,12,9.830236911773682
32,12,14.252133131027222
29,12,15.722676992416382
35,12,16.856866121292114
29,12,19.05947494506836
35,10,3.2740869522094727
21,9,10.057013034820557
34,9,10.05358076095581
21,9,6.088642120361328
33,9,6.178532123565674
23,9,10.818445920944214
30,9,8.630026817321777
22,9,9.976785898208618
34,9,9.249833106994629
3,9,0.6382336616516113
26,8,4.14084005355835
26,7,7.957304000854492
28,7,11.605793237686157
31,7,5.2173378467559814
25,7,5.1638100147247314
32,7,2.22070574760437
28,7,8.55250096321106
29,7,3.3908801078796387
26,7,7.983623266220093
37,7,3.9389607906341553
26,7,6.870165109634399
37,7,10.127236127853394
26,7,6.788603782653809
36,7,8.701617240905762
28,7,3.42986798286438
33,7,8.89184284210205
30,7,3.0850679874420166
4,7,1.7700719833374023
32,7,7.022576093673706
24,7,4.349561929702759
31,7,2.1614573001861572
22,7,1.3739349842071533
27,7,3.1300899982452393
25,7,2.5914411544799805
13,5,1.0175209045410156
19,3,0.4202110767364502
13,3,1.1570038795471191
22,3,0.8341240882873535
17,3,1.4238812923431396
24,3,0.5639920234680176
14,3,1.0384550094604492
17,3,0.8824129104614258
16,3,0.9872770309448242
21,3,0.6645779609680176
17,3,1.5809848308563232
23,3,0.8245749473571777
16,3,1.2423701286315918
7,3,0.3606388568878174
14,3,0.8494350910186768
21,3,0.3075239658355713
3,2,0.2545638084411621
23,2,0.1889960765838623
5,2,0.4750699996948242
25,2,0.17328095436096191
6,6,0.39713406562805176
31,6,0.18131685256958008
40,6,0.10654115676879883
38,6,0.0494837760925293
20,24,2.233963966369629
20,24,3.630460739135742
22,24,5.113869905471802
27,24,13.747115850448608
28,24,13.83177375793457
28,24,17.01589798927307
34,24,18.236389875411987
30,24,26.6181480884552
33,24,11.380073308944702
32,24,19.309296131134033
32,24,9.585069179534912
31,24,22.503467082977295
39,24,17.400557041168213
32,24,22.746104955673218
34,24,23.81793189048767
33,24,11.988362550735474
28,24,2.5437190532684326
31,23,6.33358907699585
28,22,9.363394021987915
34,22,33.33510494232178
36,22,19.615674018859863
30,22,29.18889307975769
40,22,16.98640275001526
27,21,4.069894790649414
33,20,13.808002948760986
28,20,20.552425861358643
10,20,5.8184380531311035
20,24,2.4924347400665283
20,24,3.067352771759033
22,24,5.443007946014404
27,24,15.883039951324463
28,24,11.932354211807251
28,24,16.304317951202393
33,24,14.566329002380371
30,24,23.46232318878174
35,24,17.12918710708618
24,24,17.835673809051514
34,24,7.708056926727295
24,24,19.774116277694702
38,24,16.683301210403442
28,24,15.651084899902344
39,24,12.115237951278687
27,24,17.89627194404602
44,24,15.34355092048645
34,24,40.66230797767639
40,24,27.525824069976807
33,24,26.839747190475464
35,24,17.125006198883057
32,24,23.918028116226196
37,24,17.000614881515503
37,24,28.411246061325073
4,23,6.206055164337158
29,22,36.0956506729126
42,22,22.01707172393799
37,22,42.42811703681946
41,22,9.10891604423523
35,22,38.516615867614746
47,22,16.78909182548523
35,22,36.33888792991638
44,22,18.176209926605225
34,22,21.07447338104248
38,22,16.80448269844055
32,22,18.41067600250244
41,22,31.385844945907593
37,22,25.41681408882141
38,22,23.99248695373535
21,18,6.802495956420898
32,14,5.739257097244263
24,14,13.533581733703613
31,14,9.82129716873169
21,14,9.643025159835815
36,14,7.463328123092651
21,14,12.994394063949585
33,14,1.991452932357788
26,13,10.052552223205566
32,13,8.006201028823853
4,13,4.094096899032593
31,13,14.602490901947021
35,13,11.391523838043213
31,13,12.145248889923096
32,13,9.540900707244873
37,13,8.283833742141724
5,13,2.8200080394744873
31,12,8.507834196090698
27,11,10.662482261657715
35,11,7.706959962844849
34,11,12.127899885177612
31,11,9.535851955413818
28,11,10.108110189437866
33,11,7.750475168228149
21,10,5.085745096206665
30,9,4.030474901199341
29,9,4.659142017364502
3,9,1.6279070377349854
