Branch size,Running time
20,0.4735128879547119
22,1.288146734237671
21,1.0927329063415527
24,0.605839729309082
20,1.2639169692993164
26,1.3353888988494873
20,1.440566062927246
22,0.6472530364990234
18,1.4296669960021973
25,0.223344087600708
21,1.6148319244384766
27,0.7348170280456543
19,1.3145232200622559
34,0.9790751934051514
2,0.2794640064239502
33,0.8681142330169678
37,0.7619478702545166
38,0.00021386146545410156
20,0.4418010711669922
20,0.6433918476104736
22,1.461724042892456
21,0.9944310188293457
22,2.1254079341888428
35,1.4964280128479004
18,1.5150671005249023
33,2.1251220703125
20,0.8802318572998047
32,2.597587823867798
25,2.328918218612671
32,2.626441240310669
26,1.0343608856201172
32,2.4567019939422607
31,2.7468080520629883
32,5.110132932662964
38,2.960520029067993
28,3.260812997817993
35,2.8330838680267334
5,1.1290686130523682
39,3.1529903411865234
28,4.781876087188721
41,6.10232400894165
25,4.232014894485474
48,2.9824109077453613
26,4.245827674865723
45,2.3769378662109375
27,3.129456043243408
46,4.622265815734863
25,4.073868989944458
46,3.390756130218506
27,2.288135051727295
43,3.009531021118164
28,3.5941262245178223
41,2.8061492443084717
30,2.2241790294647217
35,2.6234476566314697
31,3.580641984939575
38,5.671008825302124
32,1.8669798374176025
35,5.2517991065979
33,2.908405303955078
37,5.56713604927063
34,3.5875661373138428
39,5.00589394569397
33,2.9109129905700684
39,4.114087820053101
29,3.6035072803497314
34,4.872335910797119
33,2.277289867401123
36,4.3603270053863525
31,3.0170609951019287
30,4.31865382194519
32,0.8413851261138916
31,1.4923572540283203
32,3.3304851055145264
38,3.648113965988159
35,4.791700839996338
40,6.280613899230957
35,1.3018078804016113
33,3.3906729221343994
40,7.792126893997192
39,2.1501717567443848
40,6.142852783203125
38,2.820004940032959
4,0.982025146484375
42,5.481601715087891
36,2.5879640579223633
1,0.3833737373352051
35,4.307528972625732
36,4.311476945877075
2,0.7340409755706787
38,4.144147872924805
33,7.71601414680481
43,4.02473783493042
1,0.2646620273590088
37,0.7886440753936768
23,1.342607021331787
35,1.2648298740386963
2,0.32184410095214844
42,0.8746540546417236
1,0.290419340133667
40,1.1816558837890625
26,2.3371658325195312
31,0.6700189113616943
